lat,lon,name,NewChain
49.0502826,-122.3175498,Nando's,True
49.0419035,-123.0853223,Nando's,True
49.3200814,-123.0702446,Nando's,True
49.2738174,-122.7924448,Nando's,True
49.1330103,-123.0955358,Boston Pizza,True
49.1674933,-122.6674453,Boston Pizza,True
49.1711386,-123.1360519,Boston Pizza,True
49.1863895,-122.8474565,Boston Pizza,True
49.2268102,-123.0040761,Boston Pizza,True
49.0375485,-122.8009329,Boston Pizza,True
49.2818319,-123.1234128,Boston Pizza,True
49.3125664,-123.0822132,Boston Pizza,True
49.110595,-122.6768607,Boston Pizza,True
49.1381113,-122.8449545,Boston Pizza,True
49.035275,-123.0884974,Boston Pizza,True
49.2563016,-122.7482111,Boston Pizza,True
49.1582411,-122.7820519,Boston Pizza,True
49.2584314,-123.0306853,Boston Pizza,True
49.2756694,-122.7944127,Boston Pizza,True
49.2005315,-122.9182651,Boston Pizza,True
49.2637211,-123.1347841,Boston Pizza,True
49.3242115,-123.1039789,Boston Pizza,True
49.2347493,-123.1547249,McDonald's,True
49.1330851,-123.0940869,McDonald's,True
49.2501163,-122.8923026,McDonald's,True
49.2548653,-122.7354267,McDonald's,True
49.2081236,-123.1407827,McDonald's,True
49.2601826,-123.0056472,McDonald's,True
49.265883,-123.0242786,McDonald's,True
49.233088,-123.0657292,McDonald's,True
49.2182564,-123.0773813,McDonald's,True
49.2633884,-123.1160798,McDonald's,True
49.2906218,-123.1338516,McDonald's,True
49.2808969,-123.1073143,McDonald's,True
49.1771813,-122.6691551,McDonald's,True
49.1537523,-123.1584726,McDonald's,True
49.2027477,-122.8795076,McDonald's,True
49.2634479,-123.1380669,McDonald's,True
49.1616399,-123.1358929,McDonald's,True
49.0359205,-123.0691691,McDonald's,True
49.1916994,-122.9502443,McDonald's,True
49.2335124,-122.8624542,McDonald's,True
49.1047695,-122.8042283,McDonald's,True
49.2273867,-122.9997206,McDonald's,True
49.3329498,-123.0884842,McDonald's,True
49.0611385,-122.3807955,McDonald's,True
49.2060719,-123.125509,McDonald's,True
49.280548,-123.1213662,McDonald's,True
49.1774976,-123.1201449,McDonald's,True
49.1038027,-122.7250223,McDonald's,True
49.2683578,-123.1595125,McDonald's,True
49.0366022,-122.2921766,McDonald's,True
49.2847649,-123.1210612,McDonald's,True
49.2617463,-123.0696025,McDonald's,True
49.3066775,-123.0365159,McDonald's,True
49.1182418,-122.8461917,McDonald's,True
49.2873965,-123.1143665,McDonald's,True
49.0764542,-122.6707002,McDonald's,True
49.285126,-123.0640036,McDonald's,True
49.2451512,-123.1015128,McDonald's,True
49.2007348,-122.9812202,McDonald's,True
49.3360146,-123.040592,McDonald's,True
49.1114094,-122.6753063,McDonald's,True
49.3273947,-123.072432,McDonald's,True
49.1212328,-122.6617515,McDonald's,True
49.2122195,-122.9189089,McDonald's,True
49.2650869,-122.776261,McDonald's,True
49.2640388,-123.178066,McDonald's,True
49.2666817,-123.2425065,McDonald's,True
49.0591051,-122.4938845,McDonald's,True
49.2210405,-122.655669,McDonald's,True
49.0353251,-122.2697044,McDonald's,True
49.3102299,-123.0836006,McDonald's,True
49.2811772,-122.9944375,McDonald's,True
49.2808356,-123.0305122,McDonald's,True
49.2157729,-122.5910456,McDonald's,True
49.0580197,-122.3767398,McDonald's,True
49.2788511,-123.1156891,McDonald's,True
49.1616124,-122.7911856,McDonald's,True
49.2797002,-122.79884559999999,McDonald's,True
49.2852884,-123.1390222,McDonald's,True
49.1401463,-123.1378853,Subway,True
49.2427149,-123.004048,Subway,True
49.0558043,-122.2722298,Subway,True
49.2860886,-123.1252316,Subway,True
49.2544914,-122.7381621,Subway,True
49.29089,-123.1342671,Subway,True
49.0498661,-122.311635,Subway,True
49.2467974,-123.068237,Subway,True
49.2196001,-122.9683007,Subway,True
49.2633362,-123.113621,Subway,True
49.2254531,-122.9968869,Subway,True
49.2128537,-122.9368713,Subway,True
49.1548975,-123.1578804,Subway,True
49.1720147,-122.9461371,Subway,True
49.090412,-123.0782287,Subway,True
49.2332678,-123.1012746,Subway,True
49.3239681,-123.1028264,Subway,True
49.2310155,-123.0061518,Subway,True
49.1883248,-122.9517415,Subway,True
49.1912607,-122.9472977,Subway,True
49.186992,-122.84998,Subway,True
49.1900326,-122.8023914,Subway,True
49.2811945,-123.0125396,Subway,True
49.2764887,-123.1189668,Subway,True
49.1775615,-123.1222328,Subway,True
49.2716748,-123.0947341,Subway,True
49.2623856,-123.0570115,Subway,True
49.2372522,-123.0325583,Subway,True
49.2637503,-123.0242122,Subway,True
49.2545259,-123.0213204,Subway,True
49.0496898,-122.2598023,Subway,True
49.2584009,-122.9555106,Subway,True
49.1766197,-122.8015928,Subway,True
49.2263872,-123.0042373,Subway,True
49.2284031,-123.0908169,Subway,True
49.2808213,-123.0457204,Subway,True
49.1913787,-122.8449032,Subway,True
49.2230001,-122.9139689,Subway,True
49.1599802,-122.401675,Subway,True
49.2199383,-122.6019137,Subway,True
49.2205909,-122.5575978,Subway,True
49.2094689,-123.1164992,Subway,True
49.2280822,-122.9978351,Subway,True
49.2484965,-123.0899419,Subway,True
49.1624616,-122.7905606,Subway,True
49.2616851,-123.0700316,Subway,True
49.2782009,-122.8115542,Subway,True
49.2352507,-123.1557393,Subway,True
49.263878,-123.205001,Subway,True
49.2676308,-123.0035092,Subway,True
49.2676145,-123.0035285,Subway,True
49.2393218,-122.9635447,Subway,True
49.0431711,-122.7802231,Subway,True
49.1374505,-122.8907988,Subway,True
49.2632444,-123.1255405,Subway,True
49.2628323,-123.1032243,Subway,True
49.2110929,-123.1407058,Subway,True
49.1838703,-123.0933981,Subway,True
49.1551644,-123.1238125,Subway,True
49.1191003,-122.7315965,Subway,True
49.1353879,-123.0647334,Subway,True
49.1763072,-122.8886974,Subway,True
49.2766649,-123.1272005,Subway,True
49.2823756,-123.1084859,Subway,True
49.1154625,-122.6795039,Subway,True
49.2785018,-123.1156293,Subway,True
49.3131411,-123.0768211,Subway,True
49.0406901,-122.2200785,Subway,True
49.0461526,-122.3593584,Subway,True
49.1889257,-122.8021446,Subway,True
49.0586766,-122.3804894,Subway,True
49.2044232,-122.90607,Subway,True
49.2488211,-122.8624127,Subway,True
49.2271464,-122.8418011,Subway,True
49.2696735,-123.1459612,Subway,True
49.2418492,-122.7614665,Subway,True
49.1326073,-122.3396821,Subway,True
49.2798348,-122.9661141,Subway,True
49.1557887,-122.9126704,Subway,True
49.226217,-123.065504,Subway,True
49.2625141,-123.1527767,Subway,True
