,lat,lon,amenity,name,count,wikidata_id
104,49.2619,-123.13837,cafe,Starbucks,189,Q37158
105,49.28786,-123.12398,cafe,Starbucks,189,Q37158
106,49.283775,-122.82798,cafe,Starbucks,189,Q37158
107,49.26342,-123.115974,post_office,Fairview,190,Q1032001
108,49.2346,-123.183395,post_office,Musqueam,190,Q1032001
109,49.234726,-123.157555,cafe,Starbucks,189,Q37158
110,49.26586,-123.2428,cafe,Starbucks,189,Q37158
111,49.275734,-123.12694,post_office,Liberty Square,190,Q1032001
112,49.305904,-123.03714,cafe,Starbucks,189,Q37158
113,49.105236,-122.802956,post_office,Panorama Village,190,Q1032001
114,49.197483,-123.17797,cafe,Starbucks,189,Q37158
115,49.185368,-122.79874,post_office,Impact Plaza,190,Q1032001
116,49.28404,-123.12356,cafe,Starbucks,189,Q37158
117,49.18306,-122.84466,cafe,Starbucks,189,Q37158
118,49.16252,-122.88883,cafe,Starbucks,189,Q37158
119,49.263153,-123.11946,cafe,Starbucks,189,Q37158
120,49.195034,-123.17722,cafe,Starbucks,189,Q37158
121,49.284462,-123.113434,cafe,Starbucks,189,Q37158
122,49.287235,-123.141426,cafe,Starbucks,189,Q37158
123,49.26569,-123.00387,cafe,Starbucks,189,Q37158
124,49.067703,-122.53537,post_office,Otter Co-op,190,Q1032001
125,49.076202,-122.66892,cafe,Starbucks,189,Q37158
126,49.04393,-122.221886,post_office,Sumas Mountain,190,Q1032001
127,49.05132,-122.327286,post_office,Trethewey,190,Q1032001
128,49.281246,-123.04699,cafe,Starbucks,189,Q37158
129,49.272774,-123.1476,cafe,Starbucks,189,Q37158
130,49.327477,-123.15524,post_office,West Vancouver,190,Q1032001
131,49.325645,-123.1406,cafe,Starbucks,189,Q37158
132,49.132397,-122.66791,cafe,Starbucks,189,Q37158
133,49.281796,-123.12466,cafe,Starbucks,189,Q37158
134,49.24535,-123.124794,cafe,Starbucks,189,Q37158
135,49.120613,-122.89117,cafe,Starbucks,189,Q37158
136,49.37431,-123.27416,cafe,Starbucks,189,Q37158
137,49.15492,-122.91279,post_office,Nordel,190,Q1032001
138,49.251255,-123.07917,post_office,Kingsway Knight,190,Q1032001
139,49.285957,-123.115234,cafe,Starbucks,189,Q37158
140,49.21212,-122.92345,cafe,Starbucks,189,Q37158
141,49.314083,-123.07797,post_office,Metropolitan,190,Q1032001
142,49.279945,-122.96822,cafe,Starbucks,189,Q37158
143,49.22752,-122.995895,post_office,Kingsway,190,Q1032001
144,49.210873,-123.130455,cafe,Starbucks,189,Q37158
145,49.25158,-122.96757,cafe,Starbucks,189,Q37158
146,49.027367,-123.06898,cafe,Starbucks,189,Q37158
147,49.28489,-123.118065,cafe,Starbucks,189,Q37158
148,49.282444,-123.12232,cafe,Starbucks,189,Q37158
149,49.264225,-123.01377,cafe,Starbucks,189,Q37158
150,49.23247,-123.02402,cafe,Starbucks,189,Q37158
151,49.270977,-123.08768,cafe,Starbucks,189,Q37158
152,49.269024,-123.14601,cafe,Starbucks,189,Q37158
153,49.279057,-123.12558,cafe,Starbucks,189,Q37158
154,49.276737,-123.12524,cafe,Starbucks,189,Q37158
155,49.26727,-123.24993,cafe,Starbucks,189,Q37158
156,49.263092,-122.83875,cafe,Starbucks,189,Q37158
157,49.115276,-122.6745,cafe,Starbucks,189,Q37158
158,49.114597,-122.66733,cafe,Starbucks,189,Q37158
159,49.19715,-123.17663,cafe,Starbucks,189,Q37158
160,49.00803,-123.13041,cafe,Starbucks,189,Q37158
161,49.028008,-122.26585,cafe,Starbucks,189,Q37158
162,49.130913,-122.31963,cafe,Starbucks,189,Q37158
163,49.22657,-122.84845,post_office,Coquitlam Delivery Facility,190,Q1032001
164,49.2616,-122.78301,post_office,Shaughnessy,190,Q1032001
165,49.27614,-122.79366,post_office,Sunwood Square,190,Q1032001
166,49.252903,-122.89342,post_office,Cameron Street,190,Q1032001
167,49.283253,-122.82769,post_office,Heritage Mountain,190,Q1032001
168,49.252995,-122.73993,post_office,Fremont Village,190,Q1032001
169,49.276356,-122.83431,post_office,Rocky Point,190,Q1032001
170,49.278267,-122.79805,post_office,Coquitlam Centre,190,Q1032001
171,49.245274,-122.75804,post_office,Port Coquitlam Delivery Facility,190,Q1032001
172,49.00864,-122.73637,post_office,Gateway,190,Q1032001
173,49.047028,-122.77871,post_office,Morgan Heights,190,Q1032001
174,49.147278,-122.89162,post_office,New Orleans,190,Q1032001
175,49.17692,-122.888725,post_office,Scott Town Plaza,190,Q1032001
176,49.135647,-122.845,post_office,Newton,190,Q1032001
177,49.118923,-122.89071,post_office,Sunshine Hills,190,Q1032001
178,49.115665,-122.82909,post_office,South Newton,190,Q1032001
179,49.160923,-122.88973,post_office,Nordel Crossing,190,Q1032001
180,49.125847,-122.704185,post_office,Hillcrest Village,190,Q1032001
181,49.18844,-122.80465,post_office,Guildford Town Centre,190,Q1032001
182,49.103397,-122.729836,post_office,Clover Square,190,Q1032001
183,49.15694,-122.78068,post_office,Fleetwood,190,Q1032001
184,49.199734,-122.777336,post_office,Fraser Heights,190,Q1032001
185,49.165367,-122.66547,post_office,Thunderbird,190,Q1032001
186,49.1182,-122.67154,post_office,Langley Crossing,190,Q1032001
187,49.145275,-122.64832,post_office,Willoughby,190,Q1032001
188,49.09278,-122.607765,post_office,Murrayville,190,Q1032001
189,49.058586,-122.49321,post_office,Village Mall,190,Q1032001
190,49.1203,-122.66117,post_office,Logan Creek,190,Q1032001
191,49.16321,-122.63977,post_office,Walnut Grove,190,Q1032001
192,49.114994,-122.67658,post_office,Willowbrook,190,Q1032001
193,49.132206,-122.32108,post_office,Mission Hills,190,Q1032001
194,49.145626,-122.29203,post_office,Stave Lake,190,Q1032001
195,49.22984,-122.691216,post_office,Meadowvale,190,Q1032001
196,49.220222,-122.65512,post_office,Westgate,190,Q1032001
197,49.22099,-122.60047,post_office,Maple Ridge Square,190,Q1032001
198,49.217266,-122.59079,post_office,Valley Fair,190,Q1032001
199,49.272156,-122.757164,post_office,Northside,190,Q1032001
200,49.049744,-122.33999,post_office,Clearbrook Plaza,190,Q1032001
201,49.100784,-122.42622,post_office,Bradner,190,Q1032001
202,49.040104,-122.269104,post_office,Sumas Way,190,Q1032001
203,49.081913,-122.05539,post_office,Yarrow Main,190,Q1032001
204,49.163998,-122.19618,post_office,Dewdney,190,Q1032001
205,49.263947,-123.20385,post_office,Sasamat,190,Q1032001
206,49.259037,-122.95522,post_office,Bainbridge,190,Q1032001
207,49.230453,-123.09086,post_office,Fraser Street,190,Q1032001
208,49.262257,-123.09834,post_office,Kingsgate,190,Q1032001
209,49.28014,-123.12726,cafe,Starbucks,189,Q37158
210,49.2272,-122.99921,cafe,Starbucks,189,Q37158
211,49.10636,-122.66263,cafe,Starbucks,189,Q37158
212,49.287216,-123.128555,cafe,Starbucks,189,Q37158
213,49.284668,-123.1152,cafe,Starbucks,189,Q37158
214,49.225372,-123.06603,post_office,Gordon Park,190,Q1032001
215,49.206352,-123.030685,cafe,Starbucks,189,Q37158
216,49.26099,-123.11558,cafe,Starbucks,189,Q37158
217,49.296043,-122.80363,cafe,Starbucks,189,Q37158
218,49.261272,-123.24656,cafe,Starbucks,189,Q37158
219,49.196793,-122.84492,post_office,Surrey Station Main,190,Q1032001
220,49.125656,-123.18151,post_office,Moncton,190,Q1032001
221,49.15521,-123.13616,post_office,Central Richmond,190,Q1032001
222,49.170837,-123.13724,post_office,Brighouse,190,Q1032001
223,49.13204,-123.09766,post_office,Ironwood,190,Q1032001
224,49.149155,-123.18264,post_office,Seafair,190,Q1032001
225,49.1538,-123.15669,post_office,Blundell Centre,190,Q1032001
226,49.168133,-123.13721,post_office,Richmond Centre,190,Q1032001
227,49.170586,-123.138214,post_office,Richmond Main,190,Q1032001
228,49.24758,-123.18495,post_office,Dunbar,190,Q1032001
229,49.263718,-123.156334,post_office,Connaught,190,Q1032001
230,49.248497,-123.12576,post_office,King Edward,190,Q1032001
231,49.26383,-123.18567,post_office,Point Grey,190,Q1032001
232,49.261017,-123.115746,post_office,City Square,190,Q1032001
233,49.211918,-123.10255,post_office,Main Express,190,Q1032001
234,49.233166,-123.12845,post_office,Oak Street,190,Q1032001
235,49.21902,-123.04007,post_office,Champlain Mall,190,Q1032001
236,49.28094,-123.048386,post_office,East Hastings,190,Q1032001
237,49.262592,-123.06881,post_office,Grandview,190,Q1032001
238,49.26988,-123.05617,post_office,First Avenue,190,Q1032001
239,49.23481,-123.15985,post_office,Kerrisdale,190,Q1032001
240,49.271164,-123.1059,post_office,Olympic,190,Q1032001
241,49.288307,-123.12398,post_office,The Ritz,190,Q1032001
242,49.2855,-123.13946,post_office,Davie Street,190,Q1032001
243,49.289158,-123.13862,post_office,Denman Place,190,Q1032001
244,49.282085,-123.11817,post_office,West Georgia,190,Q1032001
245,49.25445,-123.02004,post_office,Cascade,190,Q1032001
246,49.227,-123.00449,post_office,Metrotown,190,Q1032001
247,49.24116,-123.05717,post_office,El Dorado,190,Q1032001
248,49.229828,-122.998405,post_office,Burnaby South,190,Q1032001
249,49.213066,-122.93702,post_office,London Place,190,Q1032001
250,49.200848,-122.912605,post_office,New Westminster Station,190,Q1032001
251,49.218838,-122.95564,post_office,Highgate,190,Q1032001
252,49.22478,-122.8926,post_office,Royal City,190,Q1032001
253,49.280834,-123.099434,post_office,Chinatown,190,Q1032001
254,49.27825,-123.11544,post_office,Stadium,190,Q1032001
255,49.27409,-123.12028,post_office,Yaletown,190,Q1032001
256,49.28488,-123.114876,post_office,West Pender Street,190,Q1032001
257,49.277435,-123.12699,post_office,Howe Street,190,Q1032001
258,49.262566,-122.83964,post_office,Como Lake,190,Q1032001
259,49.238544,-122.86484,post_office,Maillardville,190,Q1032001
260,49.327705,-123.07122,post_office,Lonsdale North,190,Q1032001
261,49.322445,-123.07204,post_office,Lonsdale East,190,Q1032001
